"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" God bless you, sir.";"unedited";"Charles Cathcart";" Marston, Rivalry, Rapprochement and Jonson";"Cathcart, Charles.  Marston, Rivalry, Rapprochement and Jonson. Aldershot: Ashgate, 2008.";"2008";"2008";"2008";"2008";"English";"@010098 SEC more entries, more Marston entries";"";"";"@010098 SEC - Marston, Rivalry, Rapprochement and Jonson";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Frans de Bruyn";"William Shakespeare and Edmund Burke";"De Bruyn, Frans.  ""William Shakespeare and Edmund Burke: Literary Allusion in Eighteenth-Century British Political Rhetoric."" Shakespeare and the Eighteenth Century. Eds. Peter Sabor and Paul Yachnin. London: Ashgate, 2008. 85-102.";"2008";"2008";"2008";"2008";"English";"@010103 SEC exhausted";"";"";"@010103 SEC - William Shakespeare and Edmund Burke";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Sayre Greenfield";"Quoting Hamlet in the Early Seventeenth Century";"Greenfield, Sayre.  ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105.3 (2008): 510-534.";"2008";"2008";"2008";"2008";"English";"@010005 SEC more entries";"";"";"@010005 SEC - Quoting Hamlet in the Early Seventeenth Century";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Julie Maxwell";"How the Renaissance (Mis)Used Sources";"Maxwell, Julie.  ""How the Renaissance (Mis)Used Sources: The Art of Misquotation."" How to Do Things with Shakespeare. Ed. Laurie Maguire. Oxford: Blackwell, 2008. 54-76.";"2008";"2008";"2008";"2008";"English";"@006224 SEC more entries";"";"";"@006224 SEC - How the Renaissance (Mis)Used Sources";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Donna Nielsen Murphy";"Locrine, Selimus, Robert Greene, and Thomas Lodge";"Murphy, Donna Nielsen.  ""Locrine, Selimus, Robert Greene, and Thomas Lodge."" Notes and Queries 56:4 (/December 2009): 559–563.  https://doi.org/10.1093/notesj/gjp195.";"2009";"2009";"2009";"2009";"English";"@006130 SEC lots more entries";"";"";"@006130 SEC - Locrine, Selimus, Robert Greene, and Thomas Lodge";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Regula Hohl Trillini";"Hamlet and Textual Re-Production 1550-1650";"Hohl Trillini, Regula.  ""Hamlet and Textual Re-Production 1550-1650."" Swiss Papers in English Language and Literature (SPELL) 22: The Construction of Textual Identity in Medieval and Early Modern Literature. Eds. Denis Renevey and Indira Ghose. Tübingen: Gunter Narr, 2009. 163-176.";"2009";"2009";"2009";"2009";"English";"@006146 SEC more entries";"";"";"@006146 SEC - Hamlet and Textual Re-Production 1550-1650";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Regula Hohl Trillini / Sixta Quaßdorf";"A ""Key to All Quotations""?";"Hohl Trillini, Regula and Sixta Quaßdorf.  'A ""Key to all Quotations""? A corpus-based parameter model of intertextuality.' Literary and Linguistic Computing 2010. http://llc.oxfordjournals.org/content/early/2010/05/18/llc.fqq003.";"2010";"2010";"2010";"2010";"English";"@006147 SEC more entries";"";"";"@006147 SEC - A Key to All Quotations";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Edelman";"An Humorous Day's Mirth (Edelman edition)";"Edelman, Charles,  ed. George Chapman. An Humorous Day's Mirth. The Revels Plays. Manchester: Manchester University Press, 2010. ";"2010";"2010";"2010";"2010";"English";"@006090 SEC more Latin entries, more Marston entries<br><br>

p. 51 virtue being loveable ""all for itself""<br>
p. 61 ""protest as a pretentious expression<br>
p. 87 war of the theatres";"";"";"@006090 SEC - An Humorous Day's Mirth (Edelman edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Barbara Mowat / Rebecca Niles / Michael Poston / Paul Werstine";"FDT - Folger Shakespeare Library";"Mowat, Barbara, Paul Werstine, Michael Poston, and Rebecca Niles,  eds. FDT - Folger Shakespeare Library. Shakespeare's Plays from Folger Digital Texts. 2010. https://www.folgerdigitaltexts.org.";"2010";"2010";"2010";"2010";"English";"@010084 - FDT";"";"";"@010084 SEC - FDT (Folger Digital Texts)";"";"";"";"Author unmarked";"Fulltext database";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Richard Knowles";"Shakespeare and Shorthand Once Again";"Knowles, Richard.  ""Shakespeare and Shorthand Once Again."" PBSA 104 (2010): 141-180.";"2010";"2010";"2010";"2010";"English";"@010060 SEC more entries";"";"";"@010060 SEC - Shakespeare and Shorthand Once Again";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
